Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
USA,105602997.0,0.0,1148785.0,0.0,103160419.0,0.0,1293793.0,2365.0,315416.0,3431.0,1168689987.0,3490656.0,334805269.0,North America,3.0,291.0,0.0,0.0,0.0,3864.0
India,44690936.0,0.0,530782.0,0.0,44156345.0,0.0,3809.0,0.0,31772.0,377.0,919671930.0,653811.0,1406631776.0,Asia,31.0,2650.0,2.0,0.0,0.0,3.0
France,39655930.0,0.0,165163.0,0.0,39425027.0,0.0,65740.0,869.0,604654.0,2518.0,271490188.0,4139547.0,65584518.0,Europe,2.0,397.0,0.0,0.0,0.0,1002.0
Germany,38256003.0,0.0,169057.0,0.0,37868100.0,21400.0,218846.0,0.0,456061.0,2015.0,122332384.0,1458359.0,83883596.0,Europe,2.0,496.0,1.0,0.0,0.0,2609.0
Brazil,37085520.0,0.0,699310.0,0.0,36249161.0,0.0,137049.0,0.0,172208.0,3247.0,63776166.0,296146.0,215353593.0,South America,6.0,308.0,3.0,0.0,0.0,636.0
Japan,33326890.0,3368.0,73226.0,27.0,21703521.0,995.0,11550143.0,111.0,265374.0,583.0,96226546.0,766227.0,125584838.0,Asia,4.0,1715.0,1.0,27.0,0.2,91971.0
S. Korea,30638929.0,4198.0,34115.0,12.0,30435599.0,0.0,169215.0,142.0,596902.0,665.0,15804065.0,307892.0,51329899.0,Asia,2.0,1505.0,3.0,82.0,0.2,3297.0
Italy,25627473.0,0.0,188538.0,0.0,25294864.0,0.0,144071.0,104.0,425262.0,3129.0,268674307.0,4458380.0,60262770.0,Europe,2.0,320.0,0.0,0.0,0.0,2391.0
UK,24396534.0,0.0,207695.0,0.0,24129971.0,4846.0,58868.0,0.0,356165.0,3032.0,522526476.0,7628357.0,68497907.0,Europe,3.0,330.0,0.0,0.0,0.0,859.0
Russia,22433361.0,10268.0,396620.0,34.0,21779606.0,9476.0,257135.0,0.0,153858.0,2720.0,273400000.0,1875095.0,145805947.0,Europe,6.0,368.0,1.0,70.0,0.2,1764.0
Turkey,17042722.0,0.0,101492.0,0.0,0.0,0.0,0.0,0.0,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia,5.0,843.0,1.0,0.0,0.0,1819.0
Spain,13778467.0,0.0,119618.0,0.0,13624507.0,0.0,34342.0,231.0,294921.0,2560.0,471036328.0,10082298.0,46719142.0,Europe,3.0,391.0,0.0,0.0,0.0,735.0
Vietnam,11527046.0,9.0,43186.0,0.0,10614819.0,1.0,869041.0,1.0,116489.0,436.0,85826548.0,867342.0,98953541.0,Asia,9.0,2291.0,1.0,0.09,0.0,8782.0
Australia,11385534.0,0.0,19459.0,0.0,11332576.0,0.0,33499.0,27.0,436750.0,746.0,78835048.0,3024116.0,26068792.0,Australia/Oceania,2.0,1340.0,0.0,0.0,0.0,1285.0
Taiwan,10177165.0,6577.0,18549.0,37.0,9935941.0,17211.0,222675.0,0.0,426026.0,776.0,30742304.0,1286903.0,23888595.0,Asia,2.0,1288.0,1.0,275.0,2.0,9321.0
Argentina,10044957.0,0.0,130472.0,0.0,9911664.0,0.0,2821.0,363.0,218320.0,2836.0,35716069.0,776264.0,46010234.0,South America,5.0,353.0,1.0,0.0,0.0,61.0
Netherlands,8602266.0,0.0,22992.0,0.0,8563380.0,396.0,15894.0,53.0,499799.0,1336.0,25984435.0,1509718.0,17211447.0,Europe,2.0,749.0,1.0,0.0,0.0,923.0
Iran,7573328.0,0.0,144956.0,0.0,7340279.0,0.0,88093.0,407.0,88039.0,1685.0,55353767.0,643478.0,86022837.0,Asia,11.0,593.0,2.0,0.0,0.0,1024.0
Mexico,7491188.0,0.0,333235.0,0.0,6723772.0,0.0,434181.0,0.0,56940.0,2533.0,19642771.0,149303.0,131562772.0,North America,18.0,395.0,7.0,0.0,0.0,3300.0
Indonesia,6739289.0,222.0,160950.0,2.0,6575099.0,311.0,3240.0,0.0,24144.0,577.0,114158919.0,408975.0,279134505.0,Asia,41.0,1734.0,2.0,0.8,0.01,12.0
Poland,6453221.0,535.0,119030.0,0.0,5335940.0,0.0,998251.0,696.0,170993.0,3154.0,38372093.0,1016754.0,37739785.0,Europe,6.0,317.0,1.0,14.0,0.0,26451.0
Colombia,6360780.0,0.0,142639.0,0.0,6184346.0,0.0,33795.0,342.0,123480.0,2769.0,36951507.0,717327.0,51512762.0,South America,8.0,361.0,1.0,0.0,0.0,656.0
Austria,5976589.0,1950.0,21995.0,0.0,5905634.0,4423.0,48960.0,78.0,659179.0,2426.0,211273524.0,23302116.0,9066710.0,Europe,2.0,412.0,0.0,215.0,0.0,5400.0
Greece,5896788.0,0.0,36283.0,0.0,5835175.0,2618.0,25330.0,115.0,571580.0,3517.0,102228365.0,9909078.0,10316637.0,Europe,2.0,284.0,0.0,0.0,0.0,2455.0
Portugal,5570473.0,0.0,26266.0,0.0,5539213.0,0.0,4994.0,61.0,549325.0,2590.0,45994869.0,4535728.0,10140570.0,Europe,2.0,386.0,0.0,0.0,0.0,492.0
Ukraine,5399231.0,0.0,111298.0,0.0,5270797.0,0.0,17136.0,0.0,125005.0,2577.0,32603805.0,754855.0,43192122.0,Europe,8.0,388.0,1.0,0.0,0.0,397.0
Chile,5203532.0,0.0,64311.0,0.0,5128749.0,0.0,10472.0,87.0,270311.0,3341.0,48630711.0,2526245.0,19250195.0,South America,4.0,299.0,0.0,0.0,0.0,544.0
Malaysia,5045192.0,0.0,36967.0,0.0,4998845.0,0.0,9380.0,5.0,152050.0,1114.0,68309333.0,2058684.0,33181072.0,Asia,7.0,898.0,0.0,0.0,0.0,283.0
Israel,4805041.0,0.0,12338.0,0.0,4781252.0,0.0,11451.0,57.0,515231.0,1323.0,41373364.0,4436346.0,9326000.0,Asia,2.0,756.0,0.0,0.0,0.0,1228.0
DPRK,4772813.0,0.0,74.0,0.0,4772739.0,0.0,0.0,0.0,183636.0,3.0,0.0,0.0,25990679.0,Asia,5.0,351225.0,0.0,0.0,0.0,0.0
Belgium,4739365.0,0.0,33814.0,0.0,4668181.0,1046.0,37370.0,43.0,406175.0,2898.0,36797565.0,3153641.0,11668278.0,Europe,2.0,345.0,0.0,0.0,0.0,3203.0
Thailand,4728304.0,122.0,33924.0,6.0,4692636.0,0.0,1744.0,0.0,67472.0,484.0,17270775.0,246450.0,70078203.0,Asia,15.0,2066.0,4.0,2.0,0.09,25.0
Czechia,4620419.0,120.0,42506.0,0.0,4569771.0,830.0,8142.0,38.0,430335.0,3959.0,57046964.0,5313226.0,10736784.0,Europe,2.0,253.0,0.0,11.0,0.0,758.0
Canada,4600615.0,0.0,51447.0,0.0,4518164.0,1441.0,31004.0,99.0,119844.0,1340.0,66343123.0,1728207.0,38388419.0,North America,8.0,746.0,1.0,0.0,0.0,808.0
Peru,4488139.0,0.0,219563.0,0.0,4266121.0,0.0,2455.0,34.0,133242.0,6518.0,38150466.0,1132592.0,33684208.0,South America,8.0,153.0,1.0,0.0,0.0,73.0
Switzerland,4392464.0,0.0,14452.0,0.0,4373995.0,0.0,4017.0,39.0,500643.0,1647.0,23833472.0,2716487.0,8773637.0,Europe,2.0,607.0,0.0,0.0,0.0,458.0
Philippines,4078041.0,146.0,66217.0,7.0,4002696.0,119.0,9128.0,162.0,36246.0,589.0,34695653.0,308381.0,112508994.0,Asia,28.0,1699.0,3.0,1.0,0.06,81.0
South Africa,4067453.0,0.0,102595.0,0.0,3912506.0,0.0,52352.0,192.0,66947.0,1689.0,26795090.0,441027.0,60756135.0,Africa,15.0,592.0,2.0,0.0,0.0,862.0
Romania,3352356.0,6310.0,67773.0,37.0,3267395.0,0.0,17188.0,117.0,176149.0,3561.0,26825878.0,1409564.0,19031335.0,Europe,6.0,281.0,1.0,332.0,2.0,903.0
Denmark,3176083.0,51.0,8312.0,4.0,3166821.0,47.0,950.0,19.0,544321.0,1425.0,129212435.0,22144566.0,5834950.0,Europe,2.0,702.0,0.0,9.0,0.7,163.0
Hong Kong,2883999.0,32.0,13471.0,1.0,2865594.0,398.0,4934.0,28.0,379259.0,1771.0,76127725.0,10011143.0,7604299.0,Asia,3.0,564.0,0.0,4.0,0.1,649.0
Sweden,2699339.0,0.0,23749.0,0.0,2672804.0,159.0,2786.0,8.0,264150.0,2324.0,19477620.0,1906026.0,10218971.0,Europe,4.0,430.0,1.0,0.0,0.0,273.0
Serbia,2502142.0,0.0,17891.0,0.0,2470044.0,0.0,14207.0,14.0,289164.0,2068.0,12483869.0,1442719.0,8653016.0,Europe,3.0,484.0,1.0,0.0,0.0,1642.0
Iraq,2465545.0,0.0,25375.0,0.0,2439497.0,0.0,673.0,21.0,58474.0,602.0,19544451.0,463523.0,42164965.0,Asia,17.0,1662.0,2.0,0.0,0.0,16.0
New Zealand,2239800.0,1644.0,3944.0,3.0,2225733.0,1631.0,10123.0,0.0,457270.0,805.0,7768604.0,1586011.0,4898203.0,Australia/Oceania,2.0,1242.0,1.0,336.0,0.6,2067.0
Singapore,2234996.0,0.0,1722.0,0.0,2149583.0,0.0,83691.0,1.0,376037.0,290.0,24756666.0,4165302.0,5943546.0,Asia,3.0,3452.0,0.0,0.0,0.0,14081.0
Hungary,2196804.0,0.0,48762.0,0.0,2143788.0,0.0,4254.0,14.0,228685.0,5076.0,11394556.0,1186160.0,9606259.0,Europe,4.0,197.0,1.0,0.0,0.0,443.0
Bangladesh,2037871.0,0.0,29445.0,0.0,1998448.0,0.0,9978.0,0.0,12138.0,175.0,15254399.0,90862.0,167885689.0,Asia,82.0,5702.0,11.0,0.0,0.0,59.0
Slovakia,1864135.0,15.0,21044.0,2.0,1841737.0,16.0,1354.0,25.0,341405.0,3854.0,7409388.0,1356983.0,5460193.0,Europe,3.0,259.0,1.0,3.0,0.4,248.0
Georgia,1827537.0,0.0,16971.0,0.0,1776548.0,0.0,34018.0,0.0,460483.0,4276.0,16920079.0,4263340.0,3968738.0,Asia,2.0,234.0,0.0,0.0,0.0,8571.0
Jordan,1746997.0,0.0,14122.0,0.0,1731007.0,0.0,1868.0,59.0,169597.0,1371.0,17201885.0,1669945.0,10300869.0,Asia,6.0,729.0,1.0,0.0,0.0,181.0
Ireland,1704502.0,0.0,8708.0,0.0,1693541.0,134.0,2253.0,11.0,339529.0,1735.0,13041966.0,2597898.0,5020199.0,Europe,3.0,577.0,0.0,0.0,0.0,449.0
Pakistan,1577647.0,87.0,30645.0,0.0,1538689.0,0.0,8313.0,10.0,6875.0,134.0,30570862.0,133213.0,229488994.0,Asia,145.0,7489.0,8.0,0.4,0.0,36.0
Norway,1479608.0,0.0,5213.0,0.0,1473652.0,0.0,743.0,20.0,268465.0,946.0,11002430.0,1996315.0,5511370.0,Europe,4.0,1057.0,1.0,0.0,0.0,135.0
Finland,1463644.0,0.0,8967.0,0.0,1452812.0,87.0,1865.0,21.0,263484.0,1614.0,12057338.0,2170554.0,5554960.0,Europe,4.0,619.0,0.0,0.0,0.0,336.0
Kazakhstan,1408124.0,0.0,13846.0,0.0,1383020.0,0.0,11258.0,24.0,73321.0,721.0,11575012.0,602707.0,19205043.0,Asia,14.0,1387.0,2.0,0.0,0.0,586.0
Slovenia,1332824.0,107.0,7082.0,1.0,1320572.0,86.0,5170.0,5.0,641387.0,3408.0,2841861.0,1367572.0,2078034.0,Europe,2.0,293.0,1.0,51.0,0.5,2488.0
Lithuania,1308538.0,32.0,9603.0,0.0,1293040.0,683.0,5895.0,3.0,491616.0,3608.0,10391486.0,3904067.0,2661708.0,Europe,2.0,277.0,0.0,12.0,0.0,2215.0
Bulgaria,1297697.0,0.0,38231.0,0.0,1256716.0,0.0,2750.0,25.0,189594.0,5586.0,11078331.0,1618551.0,6844597.0,Europe,5.0,179.0,1.0,0.0,0.0,402.0
Morocco,1272526.0,0.0,16296.0,0.0,1256151.0,0.0,79.0,3.0,33689.0,431.0,12995267.0,344038.0,37772756.0,Africa,30.0,2318.0,3.0,0.0,0.0,2.0
Croatia,1269687.0,361.0,18006.0,19.0,1251200.0,310.0,481.0,8.0,312786.0,4436.0,5530633.0,1362464.0,4059286.0,Europe,3.0,225.0,1.0,89.0,5.0,118.0
Guatemala,1238933.0,0.0,20182.0,0.0,1217743.0,0.0,1008.0,5.0,66667.0,1086.0,6983862.0,375799.0,18584039.0,North America,15.0,921.0,3.0,0.0,0.0,54.0
Lebanon,1233101.0,0.0,10845.0,0.0,1087587.0,0.0,134669.0,74.0,184462.0,1622.0,4795578.0,717380.0,6684849.0,Asia,5.0,616.0,1.0,0.0,0.0,20145.0
Costa Rica,1209725.0,0.0,9245.0,0.0,860711.0,0.0,339769.0,52.0,233432.0,1784.0,4659757.0,899158.0,5182354.0,North America,4.0,561.0,1.0,0.0,0.0,65563.0
Bolivia,1194387.0,0.0,22366.0,0.0,1160755.0,0.0,11266.0,220.0,99593.0,1865.0,2705422.0,225590.0,11992656.0,South America,10.0,536.0,4.0,0.0,0.0,939.0
Tunisia,1151126.0,0.0,29341.0,0.0,0.0,0.0,0.0,44.0,95556.0,2436.0,5003083.0,415309.0,12046656.0,Africa,10.0,411.0,2.0,0.0,0.0,978.0
Cuba,1112657.0,0.0,8530.0,0.0,1104045.0,0.0,82.0,2.0,98416.0,754.0,14324663.0,1267036.0,11305652.0,North America,10.0,1325.0,1.0,0.0,0.0,7.0
Ecuador,1057121.0,0.0,36014.0,0.0,1020564.0,0.0,543.0,759.0,58361.0,1988.0,3082403.0,170173.0,18113361.0,South America,17.0,503.0,6.0,0.0,0.0,30.0
UAE,1053746.0,0.0,2349.0,0.0,1036191.0,0.0,15206.0,0.0,104520.0,233.0,199466695.0,19784859.0,10081785.0,Asia,10.0,4292.0,0.0,0.0,0.0,1508.0
Uruguay,1034303.0,0.0,7617.0,0.0,1026186.0,0.0,500.0,18.0,295852.0,2179.0,6114822.0,1749083.0,3496016.0,South America,3.0,459.0,1.0,0.0,0.0,143.0
Panama,1031731.0,0.0,8609.0,0.0,1022524.0,0.0,598.0,16.0,232008.0,1936.0,7548346.0,1697416.0,4446964.0,North America,4.0,517.0,1.0,0.0,0.0,134.0
Mongolia,1007900.0,0.0,2179.0,0.0,1005717.0,0.0,4.0,192.0,298365.0,645.0,4030048.0,1193000.0,3378078.0,Asia,3.0,1550.0,1.0,0.0,0.0,1.0
Nepal,1001166.0,2.0,12020.0,0.0,989130.0,1.0,16.0,0.0,33123.0,398.0,6015419.0,199017.0,30225582.0,Asia,30.0,2515.0,5.0,0.07,0.0,0.5
Belarus,994037.0,0.0,7118.0,0.0,985592.0,0.0,1327.0,0.0,105381.0,755.0,13646641.0,1446722.0,9432800.0,Europe,9.0,1325.0,1.0,0.0,0.0,141.0
Latvia,976315.0,13.0,6253.0,0.0,969714.0,9.0,348.0,13.0,528070.0,3382.0,7866852.0,4255027.0,1848837.0,Europe,2.0,296.0,0.0,7.0,0.0,188.0
Saudi Arabia,830568.0,168.0,9622.0,1.0,817433.0,73.0,3513.0,38.0,23171.0,268.0,45175083.0,1260293.0,35844909.0,Asia,43.0,3725.0,1.0,5.0,0.03,98.0
Azerbaijan,828942.0,0.0,10144.0,0.0,818583.0,0.0,215.0,0.0,80478.0,985.0,7541312.0,732152.0,10300205.0,Asia,12.0,1015.0,1.0,0.0,0.0,21.0
Paraguay,808507.0,0.0,19880.0,0.0,0.0,0.0,0.0,7.0,110666.0,2721.0,2657506.0,363751.0,7305843.0,South America,9.0,367.0,3.0,0.0,0.0,12361.0
Bahrain,711768.0,0.0,1553.0,0.0,707357.0,0.0,2858.0,8.0,398977.0,871.0,10755041.0,6028668.0,1783983.0,Asia,3.0,1149.0,0.0,0.0,0.0,1602.0
Sri Lanka,672041.0,0.0,16830.0,0.0,655205.0,0.0,6.0,0.0,31148.0,780.0,6486117.0,300619.0,21575842.0,Asia,32.0,1282.0,3.0,0.0,0.0,0.3
Kuwait,663860.0,0.0,2570.0,0.0,660237.0,0.0,1053.0,0.0,151555.0,587.0,8455743.0,1930391.0,4380326.0,Asia,7.0,1704.0,1.0,0.0,0.0,240.0
Dominican Republic,660790.0,0.0,4384.0,0.0,644785.0,0.0,11621.0,4.0,59766.0,397.0,3740928.0,338350.0,11056370.0,North America,17.0,2522.0,3.0,0.0,0.0,1051.0
Cyprus,652386.0,0.0,1335.0,0.0,645696.0,0.0,5355.0,60.0,533262.0,1091.0,9640118.0,7879860.0,1223387.0,Asia,2.0,916.0,0.0,0.0,0.0,4377.0
Myanmar,633955.0,0.0,19490.0,0.0,614442.0,0.0,23.0,0.0,11479.0,353.0,10100031.0,182882.0,55227143.0,Asia,87.0,2834.0,5.0,0.0,0.0,0.4
Palestine,621008.0,0.0,5404.0,0.0,615445.0,0.0,159.0,17.0,116173.0,1011.0,3078533.0,575907.0,5345541.0,Asia,9.0,989.0,2.0,0.0,0.0,30.0
Estonia,615423.0,0.0,2946.0,0.0,524990.0,0.0,87487.0,5.0,465556.0,2229.0,3679061.0,2783140.0,1321910.0,Europe,2.0,449.0,0.0,0.0,0.0,66182.0
Moldova,611140.0,0.0,12003.0,0.0,504142.0,0.0,94995.0,49.0,152284.0,2991.0,3216305.0,801437.0,4013171.0,Europe,7.0,334.0,1.0,0.0,0.0,23671.0
Venezuela,552216.0,0.0,5854.0,0.0,545953.0,0.0,409.0,31.0,18868.0,200.0,3359014.0,114771.0,29266991.0,South America,53.0,4999.0,9.0,0.0,0.0,14.0
Egypt,515759.0,0.0,24613.0,0.0,442182.0,0.0,48964.0,122.0,4858.0,232.0,3693367.0,34792.0,106156692.0,Africa,206.0,4313.0,29.0,0.0,0.0,461.0
Libya,507187.0,0.0,6437.0,0.0,500737.0,0.0,13.0,0.0,72036.0,914.0,2483812.0,352777.0,7040745.0,Africa,14.0,1094.0,3.0,0.0,0.0,2.0
Ethiopia,500163.0,0.0,7572.0,0.0,487376.0,0.0,5215.0,1.0,4140.0,63.0,5500983.0,45533.0,120812698.0,Africa,242.0,15955.0,22.0,0.0,0.0,43.0
Qatar,495558.0,173.0,688.0,0.0,494371.0,487.0,499.0,26.0,166299.0,231.0,4065369.0,1364257.0,2979915.0,Asia,6.0,4331.0,1.0,58.0,0.0,167.0
Réunion,486588.0,0.0,921.0,0.0,418572.0,0.0,67095.0,10.0,535854.0,1014.0,1603660.0,1766027.0,908061.0,Africa,2.0,986.0,1.0,0.0,0.0,73888.0
Honduras,472301.0,0.0,11111.0,0.0,0.0,0.0,0.0,105.0,46208.0,1087.0,1638354.0,160289.0,10221247.0,North America,22.0,920.0,6.0,0.0,0.0,32153.0
Armenia,447308.0,0.0,8727.0,0.0,435162.0,0.0,3419.0,0.0,150509.0,2936.0,3242901.0,1091164.0,2971966.0,Asia,7.0,341.0,1.0,0.0,0.0,1150.0
Bosnia and Herzegovina,401729.0,0.0,16280.0,0.0,379084.0,0.0,6365.0,0.0,123635.0,5010.0,1884721.0,580036.0,3249317.0,Europe,8.0,200.0,2.0,0.0,0.0,1959.0
Oman,399449.0,0.0,4628.0,0.0,384669.0,0.0,10152.0,2.0,75028.0,869.0,25000000.0,4695724.0,5323993.0,Asia,13.0,1150.0,0.0,0.0,0.0,1907.0
North Macedonia,346852.0,0.0,9662.0,0.0,337068.0,0.0,122.0,0.0,166651.0,4642.0,2226216.0,1069626.0,2081304.0,Europe,6.0,215.0,1.0,0.0,0.0,59.0
Zambia,343135.0,0.0,4057.0,0.0,338854.0,0.0,224.0,0.0,17624.0,208.0,3943335.0,202531.0,19470234.0,Africa,57.0,4799.0,5.0,0.0,0.0,12.0
Kenya,342937.0,0.0,5688.0,0.0,337222.0,0.0,27.0,1.0,6100.0,101.0,3967062.0,70569.0,56215221.0,Africa,164.0,9883.0,14.0,0.0,0.0,0.5
Albania,334497.0,0.0,3598.0,0.0,329219.0,0.0,1680.0,0.0,116697.0,1255.0,1941032.0,677173.0,2866374.0,Europe,9.0,797.0,1.0,0.0,0.0,586.0
Botswana,329758.0,0.0,2801.0,0.0,326916.0,0.0,41.0,1.0,135082.0,1147.0,2026898.0,830300.0,2441162.0,Africa,7.0,872.0,1.0,0.0,0.0,17.0
Luxembourg,297757.0,0.0,1133.0,0.0,288991.0,0.0,7633.0,0.0,463528.0,1764.0,4412567.0,6869188.0,642371.0,Europe,2.0,567.0,0.0,0.0,0.0,11883.0
Montenegro,288935.0,0.0,2808.0,0.0,285482.0,0.0,645.0,6.0,460124.0,4472.0,2724376.0,4338524.0,627950.0,Europe,2.0,224.0,0.0,0.0,0.0,1027.0
Brunei,279661.0,0.0,225.0,0.0,243601.0,0.0,35835.0,3.0,627844.0,505.0,717784.0,1611437.0,445431.0,Asia,2.0,1980.0,1.0,0.0,0.0,80450.0
Algeria,271522.0,0.0,6881.0,0.0,182825.0,0.0,81816.0,0.0,5987.0,152.0,230861.0,5091.0,45350148.0,Africa,167.0,6591.0,196.0,0.0,0.0,1804.0
Nigeria,266598.0,0.0,3155.0,0.0,259917.0,0.0,3526.0,11.0,1230.0,15.0,5708974.0,26339.0,216746934.0,Africa,813.0,68700.0,38.0,0.0,0.0,16.0
Zimbabwe,264276.0,0.0,5671.0,0.0,258184.0,0.0,421.0,12.0,17238.0,370.0,2525756.0,164744.0,15331428.0,Africa,58.0,2703.0,6.0,0.0,0.0,27.0
Uzbekistan,251247.0,0.0,1637.0,0.0,241486.0,0.0,8124.0,23.0,7307.0,48.0,1377915.0,40077.0,34382084.0,Asia,137.0,21003.0,25.0,0.0,0.0,236.0
